Test Image, false positive, true positive, accuracy
test_image_1.txt, 0, 3, 0.75
test_image_10.txt, 0, 4, 1.0
test_image_11.txt, 0, 4, 1.0
test_image_12.txt, 0, 4, 1.0
test_image_13.txt, 0, 2, 0.5
test_image_14.txt, 4, 4, 0.4444444444444444
test_image_15.txt, 1, 4, 0.8
test_image_16.txt, 0, 2, 0.5
test_image_17.txt, 0, 3, 0.75
test_image_18.txt, 0, 3, 0.6
test_image_19.txt, 0, 3, 0.75
test_image_2.txt, 0, 4, 1.0
test_image_20.txt, 0, 4, 1.0
test_image_3.txt, 0, 3, 0.75
test_image_4.txt, 1, 3, 0.5
test_image_5.txt, 1, 2, 0.3333333333333333
test_image_6.txt, 0, 4, 0.8
test_image_7.txt, 0, 5, 1.0
test_image_8.txt, 0, 3, 0.75
test_image_9.txt, 2, 2, 0.3333333333333333

overall_accuracy: 0.728
